Master ID,Item ID,Parent ID,Menu Name,Menu Group,Subgroup,Menu Item,Tags,Avg Price,Item Qty (incl voids),% of Ttl Qty (incl voids),Gross Amount (incl voids),% of Ttl Amt (incl voids),Item Qty,Gross Amount,Void Qty,Void Amount,Discount Amount,Net Amount,# Orders,% of Ttl # Orders,% Qty (Group),% Qty (Menu),% Qty (All),% Net Amt (Group),% Net Amt (Menu),% Net Amt (All)
,,,ALL MENUS,,,,,7.894315632011968,1337.0,0.0,10554.70,0.0,1337.0,10554.70,0.0,0.00,165.85,10388.85,213,0,0,0,0,0,0,0
,,,Dough Zone Menu (Cupertino),,,,,7.894315632011968,1337.0,1.0,10554.70,1.0,1337.0,10554.70,0.0,0.00,165.85,10388.85,213,1.0,0,0,1.0,0,0,1.0
600000010081823843,600000010081823844,,Dough Zone Menu (Cupertino),HOUSE SPECIALS,,,,6.54,137.0,0.1024682124158564,896.15,0.08490530285086265,137.0,896.15,0.0,0.00,3.15,893.00,99,0.4647887323943662,0,0.1024682124158564,0.1024682124158564,0,0.08595754101753322,0.08595754101753322
600000010081823846,600000010081823847,600000010081823843,Dough Zone Menu (Cupertino),HOUSE SPECIALS,,Green Onion Pancake (1) Ⓥ 葱油饼,,4.2196428571428575,56.0,0.40875912408759124,236.30,0.26368353512246834,56.0,236.30,0.0,0.00,0.45,235.85,49,0.494949494949495,0.40875912408759124,0.041884816753926704,0.041884816753926704,0.2641097424412094,0.02270222401902039,0.02270222401902039
600000010081825599,600000010081826450,600000010081823843,Dough Zone Menu (Cupertino),HOUSE SPECIALS,,Spicy Beef Sandwich (1) 🌶️🌶️大嘴牛肉包 (辣),,7.3,3.0,0.021897810218978103,21.90,0.024437873123918985,3.0,21.90,0.0,0.00,0.00,21.90,3,0.030303030303030304,0.021897810218978103,0.002243829468960359,0.002243829468960359,0.024524076147816348,0.0021080292813930317,0.0021080292813930317
600000010081827854,600000010081827857,600000010081823843,Dough Zone Menu (Cupertino),HOUSE SPECIALS,,Beef Sandwich (1) 大嘴牛肉包 (不辣),,7.3,6.0,0.043795620437956206,43.80,0.04887574624783797,6.0,43.80,0.0,0.00,0.00,43.80,6,0.06060606060606061,0.043795620437956206,0.004487658937920718,0.004487658937920718,0.049048152295632697,0.004216058562786063,0.004216058562786063
600000010081829145,600000010081829146,600000010081823843,Dough Zone Menu (Cupertino),HOUSE SPECIALS,,Spicy Beef Pancake Roll (1) 🌶️🌶️ 麻辣牛肉卷饼,,9.593333333333334,15.0,0.10948905109489052,143.90,0.16057579646264578,15.0,143.90,0.0,0.00,1.02,142.88,14,0.1414141414141414,0.10948905109489052,0.011219147344801795,0.011219147344801795,0.16,0.013753206562805315,0.013753206562805315
600000010081831014,600000010081831015,600000010081823843,Dough Zone Menu (Cupertino),HOUSE SPECIALS,,Beef Pancake Roll (1) 酱香牛肉卷饼 (不辣),,9.50357142857143,14.0,0.10218978102189781,133.05,0.14846844836243933,14.0,133.05,0.0,0.00,0.00,133.05,14,0.1414141414141414,0.10218978102189781,0.010471204188481676,0.010471204188481676,0.14899216125419934,0.012806999812298762,0.012806999812298762
600000010081832226,600000010081832227,600000010081823843,Dough Zone Menu (Cupertino),HOUSE SPECIALS,,Pan Fried Chive Dumplings (3) 韭菜盒子,,7.422222222222222,9.0,0.06569343065693431,66.80,0.07454109245104056,9.0,66.80,0.0,0.00,0.00,66.80,9,0.09090909090909091,0.06569343065693431,0.006731488406881077,0.006731488406881077,0.0748040313549832,0.006429970593472809,0.006429970593472809
600000010081833953,600000010081833954,600000010081823843,Dough Zone Menu (Cupertino),HOUSE SPECIALS,,Pan Fried Beef Pies (2) 牛肉馅饼,,7.3,12.0,0.08759124087591241,87.60,0.09775149249567594,12.0,87.60,0.0,0.00,0.00,87.60,12,0.12121212121212122,0.08759124087591241,0.008975317875841436,0.008975317875841436,0.09809630459126539,0.008432117125572127,0.008432117125572127
600000031726935735,600000031726935734,600000010081823843,Dough Zone Menu (Cupertino),HOUSE SPECIALS,,Chinese Crepe 煎饼果子 (薄脆),,7.4,22.0,0.16058394160583941,162.80,0.18166601573397312,22.0,162.80,0.0,0.00,1.68,161.12,20,0.20202020202020202,0.16058394160583941,0.016454749439042633,0.016454749439042633,0.18042553191489363,0.015508935060184716,0.015508935060184716
600000010081834424,600000010081834425,,Dough Zone Menu (Cupertino),XIAO LONG BAO (SOUP DUMPLINGS),,,,10.07,229.0,0.1712789827973074,2307.05,0.2185803480913716,229.0,2307.05,0.0,0.00,29.52,2277.53,154,0.7230046948356808,0,0.1712789827973074,0.1712789827973074,0,0.21922830727173845,0.21922830727173845
600000010081834426,600000010081834427,600000010081834424,Dough Zone Menu (Cupertino),XIAO LONG BAO (SOUP DUMPLINGS),,Pork Xiao Long Bao (8) 鲜肉小笼包,,10.078289473684212,152.0,0.6637554585152838,1531.90,0.6640081489347869,152.0,1531.90,0.0,0.00,8.54,1523.36,112,0.7272727272727273,0.6637554585152838,0.11368735976065819,0.11368735976065819,0.6688649545779857,0.14663413178552004,0.14663413178552004
600000010081835785,600000010081835786,600000010081834424,Dough Zone Menu (Cupertino),XIAO LONG BAO (SOUP DUMPLINGS),,Pork & Crab Meat Xiao Long Bao (8) 🦐 蟹肉小笼包,,10.03108108108108,37.0,0.1615720524017467,371.15,0.16087644394356426,37.0,371.15,0.0,0.00,1.08,370.07,32,0.2077922077922078,0.1615720524017467,0.027673896783844427,0.027673896783844427,0.16248743155962816,0.03562184457374974,0.03562184457374974
600000010081837612,600000010081837613,600000010081834424,Dough Zone Menu (Cupertino),XIAO LONG BAO (SOUP DUMPLINGS),,Chicken Xiao Long Bao (8) 鸡肉小笼包,,10.1,40.0,0.17467248908296942,404.00,0.17511540712164886,40.0,404.00,0.0,0.00,19.90,384.10,34,0.22077922077922077,0.17467248908296942,0.029917726252804786,0.029917726252804786,0.168647613862386,0.036972330912468654,0.036972330912468654
600000010081839182,600000010081839183,,Dough Zone Menu (Cupertino),Q-BAO®,,,,10.02,80.0,0.05983545250560957,802.00,0.07598510616123622,80.0,802.00,0.0,0.00,2.53,799.47,67,0.3145539906103286,0,0.05983545250560957,0.05983545250560957,0,0.07695461961622316,0.07695461961622316
600000010081839186,600000010081839187,600000010081839182,Dough Zone Menu (Cupertino),Q-BAO®,,Pan Fried Pork Buns (4) 特色鲜肉煎包,,10.053448275862069,58.0,0.725,583.10,0.7270573566084788,58.0,583.10,0.0,0.00,2.53,580.57,52,0.7761194029850746,0.725,0.04338070306656694,0.04338070306656694,0.7261936032621612,0.055883952506774096,0.055883952506774096
600000010081840857,600000010081840858,600000010081839182,Dough Zone Menu (Cupertino),Q-BAO®,,Steamed Pork Buns (4) 特色鲜肉蒸包,,9.950000000000001,22.0,0.275,218.90,0.2729426433915212,22.0,218.90,0.0,0.00,0.00,218.90,21,0.31343283582089554,0.275,0.016454749439042633,0.016454749439042633,0.2738063967378388,0.021070667109449073,0.021070667109449073
600000010081843256,600000010081843257,,Dough Zone Menu (Cupertino),DUMPLINGS,,,,7.53,163.0,0.1219147344801795,1227.90,0.11633679782466579,163.0,1227.90,0.0,0.00,11.90,1216.00,108,0.5070422535211268,0,0.1219147344801795,0.1219147344801795,0,0.11704856649196013,0.11704856649196013
600000010081843258,600000010081843259,600000010081843256,Dough Zone Menu (Cupertino),DUMPLINGS,,Vegetable Potstickers (6) Ⓥ 素三鲜锅贴,,7.3,14.0,0.08588957055214724,102.20,0.08323153351250101,14.0,102.20,0.0,0.00,0.00,102.20,13,0.12037037037037036,0.08588957055214724,0.010471204188481676,0.010471204188481676,0.08404605263157895,0.00983746997983415,0.00983746997983415
600000010081845155,600000010081845158,600000010081843256,Dough Zone Menu (Cupertino),DUMPLINGS,,Chicken Potstickers (6) 鸡肉锅贴,,7.386842105263158,38.0,0.2331288343558282,280.70,0.2286016776610473,38.0,280.70,0.0,0.00,0.79,279.91,31,0.28703703703703703,0.2331288343558282,0.028421839940164548,0.028421839940164548,0.23018914473684213,0.026943309413457697,0.026943309413457697
600000010081846332,600000010081846333,600000010081843256,Dough Zone Menu (Cupertino),DUMPLINGS,,Pork & Shrimp Potstickers (6) 🦐 猪肉三鲜锅贴,,7.3,29.0,0.17791411042944785,211.70,0.17240817656160923,29.0,211.70,0.0,0.00,1.68,210.02,27,0.25,0.17791411042944785,0.02169035153328347,0.02169035153328347,0.1727138157894737,0.020215904551514365,0.020215904551514365
600000010081847462,600000010081847463,600000010081843256,Dough Zone Menu (Cupertino),DUMPLINGS,,Beef Potstickers (6) 牛肉锅贴,,7.300000000000001,13.0,0.07975460122699386,94.90,0.0772864239758938,13.0,94.90,0.0,0.00,0.00,94.90,12,0.1111111111111111,0.07975460122699386,0.009723261032161555,0.009723261032161555,0.07804276315789474,0.009134793552703139,0.009134793552703139
600000010081852318,600000010081852319,600000010081843256,Dough Zone Menu (Cupertino),DUMPLINGS,,Pork & Shrimp Boiled Dumplings (6) 🦐 猪肉三鲜水饺,,7.300000000000001,9.0,0.05521472392638037,65.70,0.05350598582946494,9.0,65.70,0.0,0.00,0.00,65.70,9,0.08333333333333333,0.05521472392638037,0.006731488406881077,0.006731488406881077,0.0540296052631579,0.0063240878441790955,0.0063240878441790955
600000010081859191,600000010081859192,600000010081843256,Dough Zone Menu (Cupertino),DUMPLINGS,,Shrimp & Zucchini Steamed Dumplings (6) 🦐 青瓜鲜虾蒸饺,,8.35,8.0,0.049079754601226995,66.80,0.05440182425278931,8.0,66.80,0.0,0.00,2.13,64.67,8,0.07407407407407407,0.049079754601226995,0.005983545250560957,0.005983545250560957,0.05318256578947369,0.0062249430880222546,0.0062249430880222546
600000010081862678,600000010081862679,600000010081843256,Dough Zone Menu (Cupertino),DUMPLINGS,,Vegetable Steamed Dumplings (6) Ⓥ 素三鲜蒸饺,,7.3,11.0,0.06748466257668712,80.30,0.06539620490267936,11.0,80.30,0.0,0.00,0.00,80.30,11,0.10185185185185185,0.06748466257668712,0.008227374719521317,0.008227374719521317,0.06603618421052632,0.007729440698441116,0.007729440698441116
600000010081864085,600000010081864086,600000010081843256,Dough Zone Menu (Cupertino),DUMPLINGS,,Chicken Steamed Dumplings (6) 鸡肉蒸饺,,7.3,14.0,0.08588957055214724,102.20,0.08323153351250101,14.0,102.20,0.0,0.00,7.30,94.90,12,0.1111111111111111,0.08588957055214724,0.010471204188481676,0.010471204188481676,0.07804276315789474,0.009134793552703139,0.009134793552703139
600000010081865188,600000010081865189,600000010081843256,Dough Zone Menu (Cupertino),DUMPLINGS,,Beef Steamed Dumplings (6) 牛肉蒸饺,,7.373333333333333,15.0,0.09202453987730061,110.60,0.0900724814724326,15.0,110.60,0.0,0.00,0.00,110.60,12,0.1111111111111111,0.09202453987730061,0.011219147344801795,0.011219147344801795,0.09095394736842105,0.010646029156258873,0.010646029156258873
600000026820238596,600000026820238595,600000010081843256,Dough Zone Menu (Cupertino),DUMPLINGS,,High Tail Shrimp & Pork Steamed Dumplings (6) 🦐 翘尾鲜虾蒸饺,,9.4,12.0,0.0736196319018405,112.80,0.09186415831908135,12.0,112.80,0.0,0.00,0.00,112.80,11,0.10185185185185185,0.0736196319018405,0.008975317875841436,0.008975317875841436,0.09276315789473684,0.010857794654846301,0.010857794654846301
600000010081852314,600000010081852315,,Dough Zone Menu (Cupertino),WONTONS,,,,7.52,156.0,0.11667913238593867,1173.80,0.11121111921703127,156.0,1173.80,0.0,0.00,0.80,1173.00,113,0.5305164319248826,0,0.11667913238593867,0.11667913238593867,0,0.11290951356502403,0.11290951356502403
600000010081849364,600000010081849365,600000010081852314,Dough Zone Menu (Cupertino),WONTONS,,Pan Fried Wontons with Chili Sauce (6) 红油香煎大馄饨,,7.378571428571428,14.0,0.08974358974358974,103.30,0.08800477082978361,14.0,103.30,0.0,0.00,0.00,103.30,12,0.10619469026548672,0.08974358974358974,0.010471204188481676,0.010471204188481676,0.08806479113384484,0.009943352729127863,0.009943352729127863
600000010081850665,600000010081850666,600000010081852314,Dough Zone Menu (Cupertino),WONTONS,,Pan Fried Wontons with Sweet & Spicy Garlic Sauce (6) 甜辣香煎大馄饨,,7.384615384615385,13.0,0.08333333333333333,96.00,0.08178565343329358,13.0,96.00,0.0,0.00,0.00,96.00,12,0.10619469026548672,0.08333333333333333,0.009723261032161555,0.009723261032161555,0.08184143222506395,0.009240676301996853,0.009240676301996853
600000010081852342,600000010081852343,600000010081852314,Dough Zone Menu (Cupertino),WONTONS,,Chicken & Vegetable Wontons in Chili Sauce (6) 🌶️ 红油菜肉大馄饨,,7.375862068965517,29.0,0.1858974358974359,213.90,0.18222865905605726,29.0,213.90,0.0,0.00,0.00,213.90,27,0.23893805309734514,0.1858974358974359,0.02169035153328347,0.02169035153328347,0.1823529411764706,0.020589381885386736,0.020589381885386736
600000010081854623,600000010081854624,600000010081852314,Dough Zone Menu (Cupertino),WONTONS,,Chicken & Vegetable Wontons in Hot & Sour Sauce (6) 🌶️ 酸辣菜肉大馄饨,,7.5,11.0,0.07051282051282051,82.50,0.07028454591923668,11.0,82.50,0.0,0.00,0.00,82.50,11,0.09734513274336283,0.07051282051282051,0.008227374719521317,0.008227374719521317,0.07033248081841433,0.007941206197028546,0.007941206197028546
600000010081857562,600000010081857563,600000010081852314,Dough Zone Menu (Cupertino),WONTONS,,Pork Wontons in Chili Sauce (6) 🌶️ 红油猪肉抄手,,7.378571428571428,42.0,0.2692307692307692,309.90,0.2640143124893508,42.0,309.90,0.0,0.00,0.80,309.10,34,0.3008849557522124,0.2692307692307692,0.031413612565445025,0.031413612565445025,0.2635123614663257,0.029753052551533616,0.029753052551533616
600000010081859160,600000010081859161,600000010081852314,Dough Zone Menu (Cupertino),WONTONS,,Pork Wontons in Hot & Sour Sauce (6) 🌶️ 酸辣猪肉抄手,,7.384615384615385,13.0,0.08333333333333333,96.00,0.08178565343329358,13.0,96.00,0.0,0.00,0.00,96.00,12,0.10619469026548672,0.08333333333333333,0.009723261032161555,0.009723261032161555,0.08184143222506395,0.009240676301996853,0.009240676301996853
600000010081905430,600000010081905431,600000010081852314,Dough Zone Menu (Cupertino),WONTONS,,Pork Wontons in Chicken Soup 鸡汤小馄饨,,7.9,13.0,0.08333333333333333,102.70,0.08749361049582553,13.0,102.70,0.0,0.00,0.00,102.70,10,0.08849557522123894,0.08333333333333333,0.009723261032161555,0.009723261032161555,0.0875532821824382,0.009885598502240382,0.009885598502240382
