Location,Order Id,Order #,Sent Date,Order Date,Check Id,Server,Table,Dining Area,Service,Dining Option,Item Selection Id,Modifier Id,Master Id,Modifier SKU,Modifier PLU,Modifier,Option Group ID,Option Group Name,Parent Menu Selection Item ID,Parent Menu Selection,Sales Category,Gross Price,Discount,Net Price,Qty,Void?,Void Reason ID,Void Reason
Cupertino,600000035110814792,4,1/29/25 11:10 AM,1/29/25 11:10 AM,600000035110757997,Default Online Ordering,,,Lunch,DoorDash - Delivery,600000035111089416,,,,,Weian,,,600000010081823847,Green Onion Pancake (1) Ⓥ 葱油饼,,0.00,0.00,0.00,1.0,false,,
Cupertino,600000035110814792,4,1/29/25 11:10 AM,1/29/25 11:10 AM,600000035110757997,Default Online Ordering,,,Lunch,DoorDash - Delivery,600000035111089418,,,,,Stacey,,,600000010081831015,Beef Pancake Roll (1) 酱香牛肉卷饼 (不辣),,0.00,0.00,0.00,1.0,false,,
Cupertino,600000035110814792,4,1/29/25 11:10 AM,1/29/25 11:10 AM,600000035110757997,Default Online Ordering,,,Lunch,DoorDash - Delivery,600000035111089420,,,,,Yichen,,,600000031726935734,Chinese Crepe 煎饼果子 (薄脆),,0.00,0.00,0.00,1.0,false,,
Cupertino,600000035110814792,4,1/29/25 11:10 AM,1/29/25 11:10 AM,600000035110757997,Default Online Ordering,,,Lunch,DoorDash - Delivery,600000035111089422,,,,,Weian,,,600000010081865189,Beef Steamed Dumplings (6) 牛肉蒸饺,,0.00,0.00,0.00,1.0,false,,
Cupertino,600000035110814792,4,1/29/25 11:10 AM,1/29/25 11:10 AM,600000035110757997,Default Online Ordering,,,Lunch,DoorDash - Delivery,600000035111089424,,,,,Divya,,,600000010081862679,Vegetable Steamed Dumplings (6) Ⓥ 素三鲜蒸饺,,0.00,0.00,0.00,1.0,false,,
Cupertino,600000035110814792,4,1/29/25 11:10 AM,1/29/25 11:10 AM,600000035110757997,Default Online Ordering,,,Lunch,DoorDash - Delivery,600000035111089426,,,,,Lan,,,600000010081843259,Vegetable Potstickers (6) Ⓥ 素三鲜锅贴,,0.00,0.00,0.00,1.0,false,,
Cupertino,600000035110814792,4,1/29/25 11:10 AM,1/29/25 11:10 AM,600000035110757997,Default Online Ordering,,,Lunch,DoorDash - Delivery,600000035111089428,,,,,Stacey,,,600000010081859192,Shrimp & Zucchini Steamed Dumplings (6) 🦐 青瓜鲜虾蒸饺,,0.00,0.00,0.00,1.0,false,,
Cupertino,600000035110814792,4,1/29/25 11:10 AM,1/29/25 11:10 AM,600000035110757997,Default Online Ordering,,,Lunch,DoorDash - Delivery,600000035111089430,,,,,Weian,,,600000010081892480,Beef-Stew Noodles 🌶️ 秘制牛肉小面,,0.00,0.00,0.00,1.0,false,,
Cupertino,600000035110814792,4,1/29/25 11:10 AM,1/29/25 11:10 AM,600000035110757997,Default Online Ordering,,,Lunch,DoorDash - Delivery,600000035111089432,,,,,Vikas,,,600000010081880028,Dan Dan Noodles Ⓥ🌶️🌶️ 担担面,,0.00,0.00,0.00,1.0,false,,
Cupertino,600000035110814792,4,1/29/25 11:10 AM,1/29/25 11:10 AM,600000035110757997,Default Online Ordering,,,Lunch,DoorDash - Delivery,600000035111089434,,,,,Bhavna,,,600000010081883486,Green Onion Soy Sauce Noodles Ⓥ 葱油拌面,,0.00,0.00,0.00,1.0,false,,
Cupertino,600000035110814792,4,1/29/25 11:10 AM,1/29/25 11:10 AM,600000035110757997,Default Online Ordering,,,Lunch,DoorDash - Delivery,600000035111089436,,,,,Bhavna,,,600000010081918799,Milk Tea (Cold) 奶茶 (冷),,0.00,0.00,0.00,1.0,false,,
Cupertino,600000035110814792,4,1/29/25 11:10 AM,1/29/25 11:10 AM,600000035110757997,Default Online Ordering,,,Lunch,DoorDash - Delivery,600000035111089438,,,,,Lan,,,600000010081834427,Pork Xiao Long Bao (8) 鲜肉小笼包,,0.00,0.00,0.00,1.0,false,,
Cupertino,600000035110814792,4,1/29/25 11:10 AM,1/29/25 11:10 AM,600000035110757997,Default Online Ordering,,,Lunch,DoorDash - Delivery,600000035111089440,,,,,Yichen,,,600000012356770061,Romaine Lettuce Salad with Sweet & Spicy Garlic Dressing Ⓥ 🌶️ 甜辣生菜沙拉,,0.00,0.00,0.00,1.0,false,,
