Location,Order Id,Order #,Sent Date,Order Date,Check Id,Server,Table,Dining Area,Service,Dining Option,Item Selection Id,Item Id,Master Id,SKU,PLU,Menu Item,Menu Subgroup(s),Menu Group,Menu,Sales Category,Gross Price,Discount,Net Price,Qty,Tax,Void?,Deferred,Tax Exempt,Tax Inclusion Option,Dining Option Tax,Tab Name
Cupertino,600000035402388991,2,2/7/25 11:08 AM,2/7/25 11:08 AM,600000035402388941,Default Online Ordering,,,Lunch,DoorDash - Delivery,600000035402740939,600000010081849365,600000010081849364,,,Pan Fried Wontons with Chili Sauce (6) 红油香煎大馄饨,,WONTONS,Dough Zone Menu (Cupertino),BOILED DUMPLINGS,16.80,0.00,16.80,2.0,1.53000000,false,false,false,Tax Not Included,No Effect,DD eb58ee14 Mary W
Cupertino,600000035402388991,2,2/7/25 11:08 AM,2/7/25 11:08 AM,600000035402388941,Default Online Ordering,,,Lunch,DoorDash - Delivery,600000035402740942,600000010081852343,600000010081852342,,,Chicken & Vegetable Wontons in Chili Sauce (6) 🌶️ 红油菜肉大馄饨,,WONTONS,Dough Zone Menu (Cupertino),BOILED DUMPLINGS,16.80,0.00,16.80,2.0,1.54000000,false,false,false,Tax Not Included,No Effect,DD eb58ee14 Mary W
Cupertino,600000035403492160,3,2/7/25 11:26 AM,2/7/25 11:25 AM,600000035403492159,xin Meng,A6,Dining Room,Lunch,Dine In,600000035403491299,600000010081832227,600000010081832226,,,Pan Fried Chive Dumplings (3) 韭菜盒子,,HOUSE SPECIALS,Dough Zone Menu (Cupertino),HOUSE SPECIALS,7.30,0.00,7.30,1.0,0.67000000,false,false,false,Tax Not Included,No Effect,
Cupertino,600000035403492160,3,2/7/25 11:26 AM,2/7/25 11:25 AM,600000035403492159,xin Meng,A6,Dining Room,Lunch,Dine In,600000035403492151,600000010081835786,600000010081835785,,,Pork & Crab Meat Xiao Long Bao (8) 🦐 蟹肉小笼包,,XIAO LONG BAO (SOUP DUMPLINGS),Dough Zone Menu (Cupertino),SOUP DUMPLINGS,9.95,0.00,9.95,1.0,0.91000000,false,false,false,Tax Not Included,No Effect,
Cupertino,600000035403492160,3,2/7/25 11:26 AM,2/7/25 11:25 AM,600000035403492159,xin Meng,A6,Dining Room,Lunch,Dine In,600000035403492153,600000010081852319,600000010081852318,,,Pork & Shrimp Boiled Dumplings (6) 🦐 猪肉三鲜水饺,,DUMPLINGS,Dough Zone Menu (Cupertino),PAN FRIED DUMPLINGS,7.30,0.00,7.30,1.0,0.67000000,false,false,false,Tax Not Included,No Effect,
Cupertino,600000035403492160,3,2/7/25 11:26 AM,2/7/25 11:25 AM,600000035403492159,xin Meng,A6,Dining Room,Lunch,Dine In,600000035403492155,600000010081905403,600000010081905400,,,Sweet & Sour Cucumber Ⓥ 🌶️ 甜辣小黄瓜,,VEGETABLES,Dough Zone Menu (Cupertino),VEGETABLES,7.30,0.00,7.30,1.0,0.67000000,false,false,false,Tax Not Included,No Effect,
Cupertino,600000035403492160,3,2/7/25 11:26 AM,2/7/25 11:25 AM,600000035403492159,xin Meng,A6,Dining Room,Lunch,Dine In,600000035403492157,600000010081883486,600000010081883485,,,Green Onion Soy Sauce Noodles Ⓥ 葱油拌面,,NOODLES,Dough Zone Menu (Cupertino),NOODLES,7.90,0.00,7.90,1.0,0.72000000,false,false,false,Tax Not Included,No Effect,
Cupertino,600000035403621060,4,2/7/25 11:32 AM,2/7/25 11:32 AM,600000035403599163,Default Online Ordering,A4,Dining Room,Lunch,Dine In,600000035403642629,600000027297453990,600000027297453991,,,COMB B,,COMBO,Dough Zone Menu (Cupertino),,16.99,0.00,16.99,1.0,1.55000000,false,false,false,Tax Not Included,No Effect,
Cupertino,600000035403621060,4,2/7/25 11:32 AM,2/7/25 11:32 AM,600000035403599163,Default Online Ordering,A4,Dining Room,Lunch,Dine In,600000035403642633,600000027297454428,600000027297454429,,,COMB C,,COMBO,Dough Zone Menu (Cupertino),,16.99,0.00,16.99,1.0,1.55000000,false,false,false,Tax Not Included,No Effect,
Cupertino,600000035403970914,1,2/7/25 11:39 AM,2/7/25 10:32 AM,600000035403970913,Yafang Chen,,,Breakfast,Take Out,600000035403970903,600000010081823847,600000010081823846,,,Green Onion Pancake (1) Ⓥ 葱油饼,,HOUSE SPECIALS,Dough Zone Menu (Cupertino),HOUSE SPECIALS,4.15,0.00,4.15,1.0,0.38000000,false,false,false,Tax Not Included,No Effect,
Cupertino,600000035403970914,1,2/7/25 11:39 AM,2/7/25 10:32 AM,600000035403970913,Yafang Chen,,,Breakfast,Take Out,600000035403970905,600000010081845158,600000010081845155,,,Chicken Potstickers (6) 鸡肉锅贴,,DUMPLINGS,Dough Zone Menu (Cupertino),PAN FRIED DUMPLINGS,7.30,0.00,7.30,1.0,0.67000000,false,false,false,Tax Not Included,No Effect,
Cupertino,600000035403970914,1,2/7/25 11:39 AM,2/7/25 10:32 AM,600000035403970913,Yafang Chen,,,Breakfast,Take Out,600000035403970907,600000010081849365,600000010081849364,,,Pan Fried Wontons with Chili Sauce (6) 红油香煎大馄饨,,WONTONS,Dough Zone Menu (Cupertino),BOILED DUMPLINGS,7.30,0.00,7.30,1.0,0.67000000,false,false,false,Tax Not Included,No Effect,
Cupertino,600000035403970914,1,2/7/25 11:39 AM,2/7/25 10:32 AM,600000035403970913,Yafang Chen,,,Breakfast,Take Out,600000035403970909,600000010081854624,600000010081854623,,,Chicken & Vegetable Wontons in Hot & Sour Sauce (6) 🌶️ 酸辣菜肉大馄饨,,WONTONS,Dough Zone Menu (Cupertino),BOILED DUMPLINGS,7.30,0.00,7.30,1.0,0.67000000,false,false,false,Tax Not Included,No Effect,
Cupertino,600000035403970914,1,2/7/25 11:39 AM,2/7/25 10:32 AM,600000035403970913,Yafang Chen,,,Breakfast,Take Out,600000035403970911,600000028210151889,600000028210151890,,,Cold Noodles with Sesame Dressing Ⓥ 麻酱凉面,,NOODLES,Dough Zone Menu (Cupertino),NOODLES,7.90,0.00,7.90,1.0,0.72000000,false,false,false,Tax Not Included,No Effect,
Cupertino,600000035404183613,6,2/7/25 11:48 AM,2/7/25 11:48 AM,600000035404182714,Default Online Ordering,A1,Dining Room,Lunch,Dine In,600000035404269005,600000010081905431,600000010081905430,,,Pork Wontons in Chicken Soup 鸡汤小馄饨,,WONTONS,Dough Zone Menu (Cupertino),BOILED DUMPLINGS,7.90,0.00,7.90,1.0,0.72000000,false,false,false,Tax Not Included,No Effect,
Cupertino,600000035404210468,7,2/7/25 11:50 AM,2/7/25 11:50 AM,600000035404208619,Default Online Ordering,A5,Dining Room,Lunch,Dine In,600000035404310128,600000010081835786,600000010081835785,,,Pork & Crab Meat Xiao Long Bao (8) 🦐 蟹肉小笼包,,XIAO LONG BAO (SOUP DUMPLINGS),Dough Zone Menu (Cupertino),SOUP DUMPLINGS,9.95,0.00,9.95,1.0,0.91000000,false,false,false,Tax Not Included,No Effect,
Cupertino,600000035404210468,7,2/7/25 11:50 AM,2/7/25 11:50 AM,600000035404208619,Default Online Ordering,A5,Dining Room,Lunch,Dine In,600000035404310130,600000010081905403,600000010081905400,,,Sweet & Sour Cucumber Ⓥ 🌶️ 甜辣小黄瓜,,VEGETABLES,Dough Zone Menu (Cupertino),VEGETABLES,7.30,0.00,7.30,1.0,0.67000000,false,false,false,Tax Not Included,No Effect,
Cupertino,600000035404210468,7,2/7/25 11:50 AM,2/7/25 11:50 AM,600000035404208619,Default Online Ordering,A5,Dining Room,Lunch,Dine In,600000035404310131,600000010081873109,600000010081873108,,,Five Spice Beef Shank 五香牛腱,,APPETIZERS,Dough Zone Menu (Cupertino),APPETIZERS,8.35,0.00,8.35,1.0,0.76000000,false,false,false,Tax Not Included,No Effect,
Cupertino,600000035404210468,7,2/7/25 11:50 AM,2/7/25 11:50 AM,600000035404208619,Default Online Ordering,A5,Dining Room,Lunch,Dine In,600000035404310132,600000010081895396,600000010081895395,,,Zha Jiang Mian 京味炸酱面,,NOODLES,Dough Zone Menu (Cupertino),NOODLES,7.90,0.00,7.90,1.0,0.72000000,false,false,false,Tax Not Included,No Effect,
Cupertino,600000035404210468,7,2/7/25 11:50 AM,2/7/25 11:50 AM,600000035404208619,Default Online Ordering,A5,Dining Room,Lunch,Dine In,600000035404310133,600000010081852319,600000010081852318,,,Pork & Shrimp Boiled Dumplings (6) 🦐 猪肉三鲜水饺,,DUMPLINGS,Dough Zone Menu (Cupertino),PAN FRIED DUMPLINGS,7.30,0.00,7.30,1.0,0.67000000,false,false,false,Tax Not Included,No Effect,
Cupertino,600000035404210468,7,2/7/25 11:50 AM,2/7/25 11:50 AM,600000035404208619,Default Online Ordering,A5,Dining Room,Lunch,Dine In,600000035404310134,600000010081847463,600000010081847462,,,Beef Potstickers (6) 牛肉锅贴,,DUMPLINGS,Dough Zone Menu (Cupertino),PAN FRIED DUMPLINGS,7.30,0.00,7.30,1.0,0.67000000,false,false,false,Tax Not Included,No Effect,
Cupertino,600000035404210468,7,2/7/25 11:50 AM,2/7/25 11:50 AM,600000035404208619,Default Online Ordering,A5,Dining Room,Lunch,Dine In,600000035404310135,600000010081895356,600000010081895355,,,Beef-Stew Noodle Soup 🌶️ 秘制牛肉汤面,,NOODLES,Dough Zone Menu (Cupertino),NOODLES,9.95,0.00,9.95,1.0,0.91000000,false,false,false,Tax Not Included,No Effect,
